strategy_name,archetype,pair,timeframe,status,promotion_status,impl,date_added,date_rejected,last_evaluation,notes
asia_drift_london_reversal,session reversal / sweep reversal,EURUSD,15m,rejected,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Session-transition fade did not hold up.
asian_range_breakout,session breakout continuation,EURUSD,15m,frozen,rejected,doc,2026-03-08,,EURUSD 15m 2018-2024 diagnostics,Original session breakout variant failed under costs and stays frozen.
asian_range_compression_breakout,event-combination strategies,EURUSD,15m,rejected,rejected,code,2026-03-10,,EURUSD 15m 2018-2024 smoke backtest,Compression-style London breakout did not justify continued expansion.
atr_spike_new_high_low,event-combination strategies,EURUSD,15m,rejected,rejected,code,2026-03-13,,EURUSD 15m 2018-2024 smoke backtest,Multi-condition event combo did not survive first-pass testing.
break_retest_continuation,session breakout continuation,EURUSD,15m,rejected,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Structure-follow-through hypothesis did not justify a live branch.
compression_breakout,event-combination strategies,EURUSD,15m,frozen,rejected,code,2026-03-12,,EURUSD 15m 2018-2024 smoke backtest,Compression breakout variant is frozen.
compression_breakout_continuation,event-combination strategies,EURUSD,15m,rejected,rejected,code,2026-03-12,,EURUSD 15m 2018-2024 smoke backtest,Stronger breakout confirmation did not rescue the family.
cup_handle_breakout,pattern-based reversal,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Chart-pattern continuation branch frozen with the pattern tree.
daily_extreme_move_reversal,experimental / one-off,EURUSD,1d diagnostic,rejected,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 aggregated-to-daily diagnostic,"Useful exploratory note, not a live research branch."
double_impulse_exhaustion,pattern-based reversal,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Exhaustion pattern branch frozen.
double_top_bottom_reversal,pattern-based reversal,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Pattern-heavy reversal branch frozen.
false_breakout_reversal,session reversal / sweep reversal,EURUSD,15m,active,multi_year_validated,code,2026-03-09,,EURUSD 15m 2018-2024 multi-year validation,"Surviving reversal archetype; keep this family active, but promotion still stops short of paper-trade status."
filtered_london_breakout,session breakout continuation,EURUSD,15m,frozen,rejected,doc,2026-03-11,,EURUSD 15m 2018-2024 diagnostics,Minor filtered variant of the same continuation tree; frozen to avoid branch proliferation.
head_shoulders_reversal,pattern-based reversal,EURUSD,15m,frozen,rejected,code,2026-03-12,,EURUSD 15m 2018-2024 smoke backtest,Classical pattern MVP failed clearly; pattern family frozen.
impulse_session_open,event-combination strategies,EURUSD,15m,frozen,rejected,code,2026-03-13,,EURUSD 15m 2018-2024 smoke backtest,Session-open momentum variant is frozen with the rest of the open variants.
liquidity_sweep_reversal,session reversal / sweep reversal,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Generic sweep reversal branch stays frozen.
london_impulse_ny_reversal,session reversal / sweep reversal,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Transition-reversal branch is frozen; includes the negative London-open fade MVP.
london_open_impulse_fade,session reversal / sweep reversal,EURUSD,15m,frozen,rejected,code,2026-03-12,,EURUSD 15m 2018-2024 smoke backtest,Session-open fade variants are frozen.
london_pullback_continuation,session breakout continuation,EURUSD,15m,rejected,rejected,code,2026-03-10,,EURUSD 15m 2018-2024 smoke + Phase 5 portfolio recheck,Old continuation survivor no longer deserves active status after repeated negative evidence and portfolio drag.
london_pullback_continuation_refined,session breakout continuation,EURUSD,15m diagnostic,frozen,diagnostic,doc,2026-03-11,,EURUSD 15m 2018-2024 refined continuation diagnostic,Diagnostic-only refinement of the continuation branch; kept for historical reference after the family was frozen.
london_range_breakout,session breakout continuation,EURUSD,15m,exploratory,diagnostic,doc,2026-03-11,,EURUSD 15m 2018-2024 diagnostics,"Historical diagnostic branch kept as reference for the breakout archetype, not as a separate expansion path."
multi_day_momentum_continuation,trend / momentum,EURUSD,1d diagnostic,rejected,rejected,doc,2026-03-11,,EURUSD 15m 2018-2024 aggregated-to-daily diagnostic,Early precursor to Phase 2; superseded by the formal trend family.
ny_impulse_mean_reversion,event-combination strategies,EURUSD,15m,rejected,rejected,code,2026-03-10,,EURUSD 15m 2018-2024 focused validation,"Raw thresholded behavior exists, but OOS trade density, yearly concentration, and portfolio context are too weak to keep the sleeve active."
