pair,strategy_name,archetype,timeframe,status,promotion_status,date_added,date_rejected,trade_count,profit_factor,net_pnl,max_drawdown,expectancy,win_rate,sample_period,walk_forward_pf,oos_result,cross_pair_result,failure_modes,metric_source,last_evaluation,notes
EURUSD,asia_drift_london_reversal,session reversal / sweep reversal,15m,rejected,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_asia_drift_london_reversal.md,EURUSD 15m 2018-2024 diagnostics,Session-transition fade did not hold up.
EURUSD,asian_range_breakout,session breakout continuation,15m,frozen,rejected,2026-03-08,,104.0,1.085,0.00351,,,0.42310000000000003,2023-01-01 to 2023-06-22,,,,false_breakout_noise,docs/strategy_asian_range_breakout.md,EURUSD 15m 2018-2024 diagnostics,Original session breakout variant failed under costs and stays frozen.
EURUSD,asian_range_compression_breakout,event-combination strategies,15m,rejected,rejected,2026-03-10,,,,,,,,2018-2024,,,,,docs/strategy_asian_range_compression_breakout.md,EURUSD 15m 2018-2024 smoke backtest,Compression-style London breakout did not justify continued expansion.
EURUSD,atr_spike_new_high_low,event-combination strategies,15m,rejected,rejected,2026-03-13,,,,,,,,EURUSD 15m 2018-2024 smoke backtest,,,,,docs/strategy_atr_spike_new_high_low.md,EURUSD 15m 2018-2024 smoke backtest,Multi-condition event combo did not survive first-pass testing.
EURUSD,break_retest_continuation,session breakout continuation,15m,rejected,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,false_breakout_noise,docs/strategy_break_retest_continuation.md,EURUSD 15m 2018-2024 diagnostics,Structure-follow-through hypothesis did not justify a live branch.
EURUSD,compression_breakout,event-combination strategies,15m,frozen,rejected,2026-03-12,,1766.0,0.5642,-0.171,0.1705,-9.68e-05,0.3029,2018-2024,,,,no_edge_after_costs,docs/strategy_volatility_expansion_after_compression.md,EURUSD 15m 2018-2024 smoke backtest,Compression breakout variant is frozen.
EURUSD,compression_breakout_continuation,event-combination strategies,15m,rejected,rejected,2026-03-12,,1463.0,0.5218,-0.1603,0.1603,-0.00010957,0.2891,2018-2024,,,,no_edge_after_costs,docs/strategy_volatility_expansion_after_compression.md,EURUSD 15m 2018-2024 smoke backtest,Stronger breakout confirmation did not rescue the family.
EURUSD,cup_handle_breakout,pattern-based reversal,15m,frozen,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_cup_handle_breakout.md,EURUSD 15m 2018-2024 diagnostics,Chart-pattern continuation branch frozen with the pattern tree.
EURUSD,daily_extreme_move_reversal,experimental / one-off,1d diagnostic,rejected,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 aggregated-to-daily diagnostic,,,,,docs/strategy_daily_extreme_move_reversal.md,EURUSD 15m 2018-2024 aggregated-to-daily diagnostic,"Useful exploratory note, not a live research branch."
EURUSD,double_impulse_exhaustion,pattern-based reversal,15m,frozen,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_double_impulse_exhaustion.md,EURUSD 15m 2018-2024 diagnostics,Exhaustion pattern branch frozen.
